year,value_usd
1820,22469.3
1850,33405.1
1880,31782.8
1900,39414.9
1910,52157.7
1913,62608.7
1914,57268
1915,57534.10000000001
1916,67816.8
1917,67609.6
1918,69980.8
1919,69734.90000000001
1920,65460.60000000001
1921,62922
1922,66304.6
1923,70491.7
1924,72489
1925,76115.40000000001
1926,80529.40000000001
1927,78243.90000000001
1928,81253.70000000001
1929,83500.1
1930,74742.8
1931,66530.1
1932,58579.7
1933,56459.9
1934,64691.7
1935,69854
1936,77693.1
1937,80978.1
1938,74276.40000000001
1939,80945.70000000001
1940,87569.8
1941,99668.3
1942,106073.1
1943,112461.9
1944,107887.3
1945,101764.6
1946,93308.20000000001
1947,89744.3
1948,98951.8
1949,94337.3
1950,104443.2
1951,108665.5
1952,107880.1
1953,108283.1
1954,107366.3
1955,117261.5
1956,116205
1957,116357.8
1958,112833
1959,121820.8
1960,121218.9
1961,122958.8
1962,131208.6
1963,136733.3
1964,144251.9
1965,150344.6
1966,156470.8
1967,152218.4
1968,157653.3
1969,153194.8
1970,148346.3
1971,152757.9
1972,159587.2
1973,166637.5
1974,156191
1975,152870
1976,158212.2
1977,164127.1
1978,168525.7
1979,171663.7
1980,164370.5
1981,167923.4
1982,161342.9
1983,170473.1
1984,186885.6
1985,191706.7
1986,193865.2
1987,204139.1
1988,220494.5
1989,223933.2
1990,225416.8
1991,218387.1
1992,231141.8
1993,233496.5
1994,240976.1
1995,249701
1996,262917.7
1997,276752.5
1998,288558.9
1999,301678.8
2000,313285.9
2001,305382.8
2002,303247.9
2003,309638.6
2004,324345.8
2005,340110.4
2006,349196.4
2007,351151.6
2008,342760.6
2009,318049.6
2010,335786.8
2011,340877.4
2012,354439.1
2013,351849.1
2014,361073.7
2015,366792.7
2016,368417.7
2017,375459
2018,385109.2
2019,388216.3
2020,362489.4
2021,394596.6
2022,406570
2023,411859.2
